BusinessEntityID,NationalIDNumber,LoginID,JobTitle,BirthDate,Gender,HireDate,VacationHours,SickLeaveHours,Name1,GroupName,Name2,StartTime,EndTime,StartDate,EndDate,ModifiedDate
1,295847284,adventure-works\ken0,Chief Executive Officer,02/03/1963,M,15/02/2003,99,69,Executive,Executive General and Administration,Day,00:00.0,00:00.0,15/02/2003,NULL,00:00.0
2,245797967,adventure-works\terri0,Vice President of Engineering,01/09/1965,F,03/03/2002,1,20,Engineering,Research and Development,Day,00:00.0,00:00.0,03/03/2002,NULL,00:00.0
3,509647174,adventure-works\roberto0,Engineering Manager,13/12/1968,M,12/12/2001,2,21,Engineering,Research and Development,Day,00:00.0,00:00.0,12/12/2001,NULL,00:00.0
4,112457891,adventure-works\rob0,Senior Tool Designer,23/01/1969,M,05/01/2002,48,80,Engineering,Research and Development,Day,00:00.0,00:00.0,05/01/2002,30/06/2004,00:00.0
4,112457891,adventure-works\rob0,Senior Tool Designer,23/01/1969,M,05/01/2002,48,80,Tool Design,Research and Development,Day,00:00.0,00:00.0,01/07/2004,NULL,00:00.0
5,695256908,adventure-works\gail0,Design Engineer,29/10/1946,F,06/02/2002,5,22,Engineering,Research and Development,Day,00:00.0,00:00.0,06/02/2002,NULL,00:00.0
6,998320692,adventure-works\jossef0,Design Engineer,11/04/1953,M,24/02/2002,6,23,Engineering,Research and Development,Day,00:00.0,00:00.0,24/02/2002,NULL,00:00.0
7,134969118,adventure-works\dylan0,Research and Development Manager,27/03/1981,M,12/03/2003,61,50,Research and Development,Research and Development,Day,00:00.0,00:00.0,12/03/2003,NULL,00:00.0
8,811994146,adventure-works\diane1,Research and Development Engineer,06/07/1980,F,30/01/2003,62,51,Research and Development,Research and Development,Day,00:00.0,00:00.0,30/01/2003,NULL,00:00.0
9,658797903,adventure-works\gigi0,Research and Development Engineer,21/02/1973,F,17/02/2003,63,51,Research and Development,Research and Development,Day,00:00.0,00:00.0,17/02/2003,NULL,00:00.0
10,879342154,adventure-works\michael6,Research and Development Manager,01/01/1979,M,04/06/2003,16,64,Research and Development,Research and Development,Day,00:00.0,00:00.0,04/06/2003,NULL,00:00.0
11,974026903,adventure-works\ovidiu0,Senior Tool Designer,18/02/1972,M,05/01/2005,7,23,Tool Design,Research and Development,Day,00:00.0,00:00.0,05/01/2005,NULL,00:00.0
12,480168528,adventure-works\thierry0,Tool Designer,29/08/1953,M,11/01/2002,9,24,Tool Design,Research and Development,Day,00:00.0,00:00.0,11/01/2002,NULL,00:00.0
13,486228782,adventure-works\janice0,Tool Designer,29/06/1983,F,23/01/2005,8,24,Tool Design,Research and Development,Day,00:00.0,00:00.0,23/01/2005,NULL,00:00.0
14,42487730,adventure-works\michael8,Senior Design Engineer,17/07/1973,M,30/01/2005,3,21,Engineering,Research and Development,Day,00:00.0,00:00.0,30/01/2005,NULL,00:00.0
15,56920285,adventure-works\sharon0,Design Engineer,03/06/1955,F,18/02/2005,4,22,Engineering,Research and Development,Day,00:00.0,00:00.0,18/02/2005,NULL,00:00.0
16,24756624,adventure-works\david0,Marketing Manager,19/04/1969,M,20/01/2002,40,40,Purchasing,Inventory Management,Day,00:00.0,00:00.0,20/01/2002,15/08/2003,00:00.0
16,24756624,adventure-works\david0,Marketing Manager,19/04/1969,M,20/01/2002,40,40,Marketing,Sales and Marketing,Day,00:00.0,00:00.0,16/08/2003,NULL,00:00.0
17,253022876,adventure-works\kevin0,Marketing Assistant,03/06/1981,M,26/02/2001,42,41,Marketing,Sales and Marketing,Day,00:00.0,00:00.0,26/02/2001,NULL,00:00.0
18,222969461,adventure-works\john5,Marketing Specialist,06/04/1972,M,10/03/2005,48,44,Marketing,Sales and Marketing,Day,00:00.0,00:00.0,10/03/2005,NULL,00:00.0
19,52541318,adventure-works\mary2,Marketing Assistant,01/03/1972,F,17/03/2005,43,41,Marketing,Sales and Marketing,Day,00:00.0,00:00.0,17/03/2005,NULL,00:00.0
